RA;Aluno;Prova 1;Prova 2;Provas;Listas;Exame;Nota antes do Exame;Nota Final;Conceito final
163861;RAT;7.3;9.6;8.68;10.0;0.0;9.08;9.08;A
167653;SBS;6.5;9.0;8.0;10.0;0.0;8.6;8.6;A
163244;APT;8.8;8.5;8.62;10.0;0.0;9.04;9.04;A
164676;TAM;7.9;6.3;6.94;10.0;0.0;7.86;7.86;B
149233;JAM;7.5;5.1;6.06;10.0;0.0;7.24;7.24;B
147406;MSN;4.9;7.8;6.64;10.0;0.0;7.65;7.65;B
145865;DNF;5.4;7.4;6.6;10.0;0.0;7.62;7.62;B
145642;CEB;7.8;7.1;7.38;10.0;0.0;8.17;8.17;B
166541;UFA;3.5;8.0;6.2;10.0;0.0;7.34;7.34;B
167407;MGA;8.3;6.5;7.22;10.0;0.0;8.05;8.05;B
166756;TSX;9.6;6.0;7.44;10.0;0.0;8.21;8.21;B
150553;AKI;4.0;5.5;4.9;8.6;0.0;6.01;6.01;C
164844;LOL;5.5;5.9;5.74;7.7;0.0;6.33;6.33;C
165308;BUS;3.5;8.6;6.56;7.3;0.0;6.79;6.79;C
165577;CAN;2.3;7.1;5.18;9.1;0.0;6.36;6.36;C
115803;CMS;3.8;6.2;5.24;8.2;0.0;6.13;6.13;C
165680;TRE;7.6;7.4;7.48;5.0;0.0;6.74;6.74;C
164598;BAT;4.1;5.0;4.64;10.0;0.0;6.25;6.25;C
160313;BBB;5.3;5.5;5.42;9.1;0.0;6.52;6.52;C
147458;MCS;7.3;5.9;6.46;7.7;0.0;6.83;6.83;C
167276;LIS;0.3;7.8;4.8;10.0;0.0;6.36;6.36;C
166723;BCH;4.3;6.2;5.44;8.2;0.0;6.27;6.27;C
134886;AFB;5.8;6.1;5.98;5.9;0.0;5.96;5.96;D
155208;EBS;4.8;6.3;5.7;5.5;0.0;5.64;5.64;D
156236;LAH;2.4;7.9;5.7;6.4;0.0;5.92;5.92;D
157404;TBG;4.5;5.0;4.8;7.7;0.0;5.67;5.67;D
147156;MVM;3.1;4.8;4.12;8.6;0.0;5.46;5.46;D
167326;GRU;6.1;6.1;6.1;5.5;0.0;5.92;5.92;D
154995;ABC;4.1;3.8;3.92;10.0;0.0;5.74;5.74;D
167084;KMP;3.0;4.0;3.6;8.2;3.8;4.98;4.39;F
166659;BCT;3.6;2.5;2.94;6.8;2.5;4.1;3.3;F
88967;GLD;3.3;0.0;1.32;4.5;0.0;2.27;2.27;F
156515;MFS;0.0;0.0;0.0;1.8;0.0;0.0;0.0;F
160233;MMA;5.4;0.0;2.16;3.6;3.4;2.59;3.0;F
158260;MMG;2.5;0.0;1.0;3.2;0.0;1.66;1.66;F
158081;KST;4.9;0.0;1.96;2.7;0.0;2.18;2.18;F
150724;LSH;0.3;0.8;0.6;0.0;0.0;0.0;0.0;F
149281;LIM;3.8;0.0;1.52;5.5;0.0;2.71;2.71;F
148296;ARC;1.4;0.0;0.56;0.9;0.0;0.66;0.66;F
147706;RAT;0.0;0.0;0.0;0.9;0.0;0.0;0.0;F
146532;IFT;3.3;2.0;2.52;5.9;2.6;3.53;3.06;F
141703;TAD;3.6;2.0;2.64;4.5;3.1;3.2;3.15;F
138277;EMM;2.6;5.5;4.34;4.5;5.5;4.39;4.94;F
137250;PVS;1.0;0.0;0.4;0.9;0.0;0.55;0.55;F
122124;LHM;4.4;5.0;4.76;5.5;0.0;4.98;4.98;F
118904;VCB;1.3;0.0;0.52;5.0;0.0;1.86;1.86;F
160278;ARS;0.8;0.0;0.32;8.2;0.0;2.68;2.68;F
167788;STA;3.5;0.0;1.4;3.6;0.0;2.06;2.06;F
